Name|md5|Machine|SizeOfOptionalHeader|Characteristics|MajorLinkerVersion|MinorLinkerVersion|SizeOfCode|SizeOfInitializedData|SizeOfUninitializedData|AddressOfEntryPoint|BaseOfCode|BaseOfData|ImageBase|SectionAlignment|FileAlignment|MajorOperatingSystemVersion|MinorOperatingSystemVersion|MajorImageVersion|MinorImageVersion|MajorSubsystemVersion|MinorSubsystemVersion|SizeOfImage|SizeOfHeaders|CheckSum|Subsystem|DllCharacteristics|SizeOfStackReserve|SizeOfStackCommit|SizeOfHeapReserve|SizeOfHeapCommit|LoaderFlags|NumberOfRvaAndSizes|SectionsNb|SectionsMeanEntropy|SectionsMinEntropy|SectionsMaxEntropy|SectionsMeanRawsize|SectionsMinRawsize|SectionMaxRawsize|SectionsMeanVirtualsize|SectionsMinVirtualsize|SectionMaxVirtualsize|ImportsNbDLL|ImportsNb|ImportsNbOrdinal|ExportNb|ResourcesNb|ResourcesMeanEntropy|ResourcesMinEntropy|ResourcesMaxEntropy|ResourcesMeanSize|ResourcesMinSize|ResourcesMaxSize|LoadConfigurationSize|VersionInformationSize|legitimate
19084994-c448-11e6-b28c-80e65024849a.file|dde7ff14407dd4ea62f9b513f927efb5|332|224|258|10|0|217600|101888|0|68272|4096|225280|4194304|4096|512|5|1|0|0|5|1|335872|1024|0|2|33088|1048576|4096|1048576|4096|0|16|5|4.74391565145|3.54585721887|6.35360805532|62054.4|2048|217600|63557.4|1576|217329|8|121|0|0|1|5.1493333195|5.1493333195|5.1493333195|1477.0|1477|1477|72|0|0
b8a87a75-c4f3-11e6-bb65-80e65024849a.file|8a916ce8bac56ad0cc040507f70dccf2|332|224|259|14|0|44032|245248|0|4186|4096|49152|4194304|4096|512|6|0|0|0|6|0|487424|1024|474932|2|320|1048576|4096|1048576|4096|0|16|8|5.306631752|3.39605956343|6.90490965139|53376.0|3584|181248|58482.0|3740|180948|2|109|0|0|35|4.13111726006|1.29173550268|7.98889536552|5099.91428571|16|48250|0|18|0
b1854187-ca1a-11e6-ae9d-80e65024849a.file|a3be2e7f29320c63ad3b772f8c9b2fce|332|224|8450|12|0|131072|4096|106496|238288|110592|241664|268435456|4096|512|5|1|0|0|5|1|245760|4096|0|2|320|1048576|4096|1048576|4096|0|16|3|3.87098407281|0.0|7.92807936651|43349.3333333|0|128512|80554.6666667|4096|131072|3|7|0|0|2|3.98741430346|3.06321409118|4.91161451574|358.5|336|381|72|11|0
319c2463-c5d3-11e6-85ad-80e65024849a.file|aba38bf05af121d6bdd01e7be8b08952|332|224|258|10|0|716288|223744|0|398186|4096|720896|4194304|4096|512|5|1|0|0|5|1|962560|1024|960763|2|33088|1048576|4096|1048576|4096|0|16|5|5.50718896964|4.54091649228|6.59260228559|188006.4|17408|716288|189819.2|27780|715968|15|347|16|0|28|4.61808333708|1.62025971212|7.87470152794|1309.03571429|16|9640|72|16|0
de43bf82-372b-11e7-8523-80e65024849a.file|31d5f481153ccd2829558720f8d90d81|332|224|271|7|10|327680|749568|0|204993|4096|331776|4194304|4096|4096|4|0|0|0|4|0|1081344|4096|1109493|2|0|1048576|4096|1048576|4096|0|16|4|5.71114439524|3.70322277333|7.81560299434|264192.0|12288|630784|265760.25|28820|627336|15|427|2|0|85|4.09159426248|0.960953135828|7.99664015712|7325.37647059|20|182713|72|17|0
b8460e07-99fa-11e6-93c9-80e65024849a.file|9f6eab3948d7941cd0b7501c6b6feb93|332|224|258|10|0|480256|332800|0|284397|4096|487424|4194304|4096|512|5|1|0|0|5|1|839680|1024|844150|2|33088|1048576|4096|1048576|4096|0|16|6|5.38999571919|3.92544735709|7.58224058906|135509.333333|12288|480256|137048.5|12049|480207|15|346|0|0|55|5.42295127984|0.960953135828|7.98516428189|3739.2|42|43285|72|16|0
de4772e3-ca8e-11e6-955d-80e65024849a.file|218613f0f1d2780f08e754be9e6f8c64|332|224|259|10|0|7168|199168|0|9847|4096|12288|4194304|4096|512|5|1|0|0|5|1|217088|1024|0|2|33024|1048576|4096|1048576|4096|0|16|4|6.15053364113|4.3582486704|7.99736638132|51584.0|1024|195584|51495.5|1668|195128|4|52|0|0|3|7.99248317387|7.98486409378|7.99688441963|64956.6666667|12598|103936|72|0|0
3e78d4c0-9eb2-11e6-a9ea-80e65024849a.file|fa9667c9679b9848dc783e1c2cb5cf84|332|224|259|8|0|25088|268800|8192|14211|4096|32768|4194304|4096|512|4|0|6|0|4|0|1499136|1024|2723383|2|33792|1048576|4096|1048576|4096|0|16|5|3.46412357229|0.0|6.4888588222|12083.2|0|27136|297444.0|7404|1171456|8|158|1|0|16|3.18155867252|2.27199375573|5.23085806379|1632.8125|118|9640|0|13|0
ac6a6319-bbf1-11e6-9487-80e65024849a.file|960a10e9df3ad1b4822030f7142583bf|332|224|271|6|0|25600|186368|2048|12960|4096|32768|4194304|4096|512|4|0|6|0|4|0|401408|1024|0|2|34112|1048576|4096|1048576|4096|0|16|5|4.25654202609|0.0|6.48463588503|12697.6|0|30720|77819.8|5296|176088|7|166|1|0|18|3.93539526751|2.52183228636|6.16607689223|1649.0|132|9640|0|0|0
cd4a6866-2655-11e7-ad5f-80e65024849a.file|8a916ce8bac56ad0cc040507f70dccf2|332|224|259|14|0|44032|245248|0|4186|4096|49152|4194304|4096|512|6|0|0|0|6|0|487424|1024|474932|2|320|1048576|4096|1048576|4096|0|16|8|5.306631752|3.39605956343|6.90490965139|53376.0|3584|181248|58482.0|3740|180948|2|109|0|0|35|4.13111726006|1.29173550268|7.98889536552|5099.91428571|16|48250|0|18|0
